driver_id,driver_name,age,Trips
WDID09873,Pamela Moore,18,64
WDID09874,Billy Lawson,18,37
WDID09875,Stephen Randolph,18,64
WDID09876,Jordan Daniel,18,53
WDID09877,James White,18,14
WDID09878,Roger Green,18,22
WDID09879,Shane Palmer,18,35
WDID09880,Brittany Gordon,18,36
WDID09881,Tracey Watkins,18,26
WDID09882,Angela Young,18,75
WDID09883,Charles Rios DVM,18,62
WDID09884,James Winters,18,22
WDID09885,Jacob Barker,18,50
WDID09886,Jasmine Perez,18,45
WDID09887,Debbie Cox,18,62
WDID09888,Nancy Porter,18,58
WDID09889,Carla James,18,66
WDID09890,Cynthia Owens,18,67
WDID09891,Justin Parsons,18,16
WDID09892,Andrew Lambert,18,34
WDID09893,Mrs. Valerie Schwartz MD,18,77
WDID09894,Jennifer Wright,18,61
WDID09895,Jason Moss,18,18
WDID09896,Anthony Robertson,18,77
WDID10058,Holly Grant,18,29
WDID10059,Amber Porter,18,46
WDID10060,Jody Patel,18,41
WDID10061,Ashley Peterson,18,42
WDID10062,Audrey Lopez,18,28
WDID10063,John Martinez,18,77
WDID10064,Charlotte Davila,18,37
WDID10065,Nicole Martinez,18,23
WDID10066,Ryan Gomez,18,60
WDID10067,Bruce Lane,18,29
WDID10068,Tyler Stewart,19,24
WDID10069,Ms. Lindsay Carpenter,19,77
WDID10070,Heather Torres,19,51
WDID10071,Chad Medina,19,20
WDID10072,Brian Crawford,19,32
WDID10073,Elizabeth Robinson,19,35
WDID10074,Joseph Roberts,19,65
WDID10075,Sandra Howard,19,71
WDID10076,Michelle Kane,19,30
WDID10077,Brent Werner,19,15
WDID10078,Todd Morris,19,69
WDID10079,Brittany Kelly,19,70
WDID10080,Kimberly Russell,19,52
WDID10081,Jonathan Gonzalez,19,45
WDID10082,Brittany Morgan,19,60
WDID10083,Andrea Choi,19,28
WDID10084,Candace Taylor,19,11
WDID10085,Charles Barrett,19,57
WDID10086,Matthew Brooks,19,20
WDID10087,Jessica Johnson,19,74
WDID10088,Anne Mckee,19,13
WDID10089,Andrew Smith,19,41
WDID10090,Jennifer Harris,19,65
WDID10091,Paul Boyd,19,68
WDID10092,Savannah Berg,19,25
WDID10093,Justin Gregory,19,56
WDID10094,Eric Bennett,19,18
WDID10095,Billy Daniels,19,71
WDID10096,Kelly Lopez,19,14
WDID10097,Melissa Little,19,59
WDID10098,Alice Giles,19,71
WDID10099,Julie Nichols,19,27
WDID10100,Nicholas Drake,19,44
WDID10101,Anita Harris,19,47
WDID10216,Nicole Freeman,20,45
WDID10217,Christopher Cooper,20,69
WDID10218,Shelly Sweeney,20,42
WDID10219,Justin Robinson,20,54
WDID10220,Crystal Harris,20,55
WDID10221,Michael Baxter,20,42
WDID10222,Daniel Hall,20,40
WDID10223,Scott Bell,20,24
WDID10224,Anthony Mitchell,20,25
WDID10225,Mary Miller,20,49
WDID10226,Sherri Allen,20,43
WDID10227,David Williams,20,47
WDID10228,Lindsey Nash,20,63
WDID10245,William Ballard,21,46
WDID10246,Samantha Burns,21,63
WDID10247,Sandra Ochoa,21,76
WDID10248,Victoria Adams,21,61
WDID10249,Michael Martin,21,78
WDID10250,Jared Campos,21,24
WDID10251,Jennifer Solis,21,63
WDID10252,Timothy Humphrey,21,39
WDID10253,Kenneth Hess,21,53
WDID10254,Sylvia Reed,21,33
WDID10255,Matthew Miller,21,20
WDID10256,Jennifer Brown,21,61
WDID10257,Paul Lyons,21,29
WDID10258,Christopher Williams,21,33
WDID10309,Jessica Acosta,22,12
WDID10310,Teresa Trujillo,22,50
WDID10311,Caleb Martinez,22,57
WDID10312,Toni Carter DDS,22,68
WDID10313,Nathan Price,22,29
WDID10314,Joshua Barrett,22,38
WDID10315,Courtney Smith,22,60
WDID10316,Jasmine Higgins,22,39
WDID10317,Stephen Walls,22,11
WDID10318,Jason Young,22,16
WDID10319,Cynthia Thomas,22,40
WDID10320,Amanda Bennett,22,21
WDID10321,Crystal Ellis,22,21
WDID10322,Dana Ferguson,22,40
WDID10323,Edward Moore,22,19
WDID10324,Glenda Johnson,22,40
WDID10325,Kimberly Townsend,22,54
WDID10326,Brittany Daniel,22,41
WDID10355,Stacy Blackburn,23,78
WDID10356,Christina Bowers,23,37
WDID10357,Michelle Owen,23,48
WDID10358,Nancy Snyder,23,14
WDID10359,Dustin Wood,23,57
WDID10386,Dennis Robinson MD,24,15
WDID10387,Dalton Rogers,24,27
WDID10388,Damon Bailey,24,75
WDID10389,Megan Smith,24,64
WDID10390,Maria Spears,24,15
WDID10415,Jerry Lamb,25,55
WDID10416,Sandra Henry,25,41
WDID10417,James Velez,25,21
WDID10418,Kelsey Mitchell,26,18
WDID10419,Valerie Davis,26,29
WDID10420,Heather King,26,31
WDID10421,Jesse Solomon,26,29
WDID10422,Patrick Hall,26,27
WDID10423,Robert Wright,26,63
WDID10440,Sarah Mitchell,27,33
WDID10441,Sandra Case,27,31
WDID10442,Marc Waters,27,12
WDID10443,Darryl Wilson,27,62
WDID10444,Jennifer Rasmussen,27,14
WDID10445,Denise Brown,28,56
WDID10446,Theresa Fields,28,22
WDID10447,Patricia Vance,18,40
WDID10448,Jennifer Thornton,28,52
WDID10449,Natasha White,28,37
WDID10450,Deborah Graham,28,30
WDID10463,Rebecca Lin,57,46
WDID10464,Paul Leach,30,57
WDID10465,Kirk Parker,63,64
WDID10466,Alison Knight,29,13
WDID10467,Amy Fox,53,32
WDID10468,Joan Melton,31,40
WDID10469,Leslie Powell,46,47
WDID10470,Wendy Vincent,32,35
WDID10471,Amanda Malone,60,44
WDID10472,Brent Green,35,55
WDID10473,Matthew Wood,40,55
WDID10474,Aaron Garcia,35,66
WDID10475,Jeffery Taylor,60,29
WDID10476,Scott Carter,51,12
WDID10477,Kristine Bradshaw,50,27
WDID10478,Joseph Lopez,40,22
WDID10479,Rebecca Duffy,34,18
WDID10480,Dr. Elizabeth Cooper DDS,38,27
WDID10481,Stephanie Johnson,44,45
WDID10482,Robert Jones,61,32
WDID10483,Glenn Anderson,40,55
WDID10484,Sean Walker,29,16
WDID10485,Gina Martinez,32,16
WDID10486,Taylor Pope,54,45
WDID10487,Jack Williams,50,42
WDID10488,Scott Alvarez,29,60
WDID10489,Jessica Patterson,48,24
WDID10490,Joan Brooks,44,65
WDID10491,Cristina Martin,44,57
WDID10492,Christie Ramirez,36,55
WDID10493,Justin Reynolds,35,63
WDID10494,Doris Li,47,70
WDID10495,Priscilla White,64,46
WDID10496,Keith Coffey,57,28
WDID10497,Heather Davis,38,41
WDID10498,Alan Woodward,36,76
WDID10499,Brian Wheeler IV,64,37
WDID10500,William Lee,50,65
WDID10501,Caroline Smith,49,64
WDID10502,Heather Johnson,38,44
WDID10503,Alec Rodriguez,42,71
WDID10504,Tracey Thomas,35,57
WDID10505,Paula Case,62,16
